Date,Open,High,Low,Close,Volume,ticker,daily_return
2024-01-02,7590.7998046875,7632.7001953125,7584.5,7627.7998046875,307500,^AXJO,
2024-01-03,7627.7998046875,7627.7998046875,7521.89990234375,7523.2001953125,475500,^AXJO,-0.013712946334894727
2024-01-04,7523.2001953125,7529.89990234375,7481.10009765625,7494.10009765625,469800,^AXJO,-0.0038680477590349316
2024-01-05,7492.5,7514.2998046875,7488.2001953125,7489.10009765625,437400,^AXJO,-0.0006671915153046992
2024-01-08,7489.10009765625,7504.2001953125,7441.7998046875,7451.5,526400,^AXJO,-0.005020642956557242
2024-01-09,7464.7001953125,7541.89990234375,7464.7001953125,7520.5,530600,^AXJO,0.009259880560960942
2024-01-10,7520.5,7520.5,7465.2001953125,7468.5,570700,^AXJO,-0.00691443388072599
2024-01-11,7468.5,7517.2001953125,7467.2001953125,7506.0,570300,^AXJO,0.005021088572002341
2024-01-12,7506.0,7506.0,7474.2998046875,7498.2998046875,576600,^AXJO,-0.0010258720107247932
2024-01-15,7495.2998046875,7505.10009765625,7477.60009765625,7496.2998046875,510300,^AXJO,-0.00026672713176256746
2024-01-16,7496.2998046875,7496.2998046875,7402.2998046875,7414.7998046875,570700,^AXJO,-0.010872030484831652
2024-01-17,7414.7998046875,7418.89990234375,7372.60009765625,7393.10009765625,700400,^AXJO,-0.002926539839623432
2024-01-18,7371.5,7372.10009765625,7322.0,7346.5,729100,^AXJO,-0.006303187707552227
2024-01-19,7346.5,7446.7998046875,7346.5,7421.2001953125,673000,^AXJO,0.010168133847750616
2024-01-22,7428.7001953125,7483.0,7428.2998046875,7476.60009765625,621400,^AXJO,0.007465086628271056
2024-01-23,7476.60009765625,7530.2998046875,7476.60009765625,7514.89990234375,603300,^AXJO,0.00512262314250389
2024-01-24,7514.89990234375,7536.39990234375,7498.89990234375,7519.2001953125,585700,^AXJO,0.0005722355619679487
2024-01-25,7519.2001953125,7558.7998046875,7519.2001953125,7555.39990234375,593500,^AXJO,0.0048143028634637375
2024-01-29,7544.39990234375,7583.60009765625,7544.2998046875,7578.39990234375,674800,^AXJO,0.0030441803607066387
2024-01-30,7578.39990234375,7630.5,7578.39990234375,7600.2001953125,635400,^AXJO,0.002876635338550537
2024-01-31,7600.2001953125,7682.2998046875,7570.2001953125,7680.7001953125,0,^AXJO,0.010591826258688375
2024-02-01,7680.7001953125,7680.7001953125,7579.5,7588.2001953125,620800,^AXJO,-0.012043172842034933
2024-02-02,7588.2001953125,7703.60009765625,7588.2001953125,7699.39990234375,643100,^AXJO,0.014654292739922914
2024-02-05,7699.39990234375,7699.39990234375,7593.2998046875,7625.89990234375,474100,^AXJO,-0.009546198526150906
2024-02-06,7625.89990234375,7625.89990234375,7542.0,7581.60009765625,561900,^AXJO,-0.005809124858022985
2024-02-07,7615.7998046875,7656.0,7615.7998046875,7624.89990234375,112000,^AXJO,0.005711169691063667
2024-02-08,7615.7998046875,7662.39990234375,7615.7998046875,7639.2001953125,574000,^AXJO,0.0018754728785821406
2024-02-09,7639.2998046875,7655.89990234375,7628.5,7644.7998046875,584100,^AXJO,0.0007330099004914103
2024-02-12,7644.7998046875,7644.7998046875,7609.39990234375,7614.89990234375,490100,^AXJO,-0.003911142620820041
2024-02-13,7614.89990234375,7632.7001953125,7599.0,7603.60009765625,635700,^AXJO,-0.0014839071862287057
2024-02-14,7603.60009765625,7603.60009765625,7489.39990234375,7547.7001953125,876000,^AXJO,-0.007351767797596387
2024-02-15,7547.7001953125,7621.2998046875,7538.7001953125,7605.7001953125,911300,^AXJO,0.007684459967821855
2024-02-16,7605.7001953125,7681.10009765625,7605.7001953125,7658.2998046875,902100,^AXJO,0.006915814195176617
2024-02-19,7658.2998046875,7683.2998046875,7653.2001953125,7665.10009765625,742900,^AXJO,0.0008879637964274156
2024-02-20,7665.10009765625,7670.89990234375,7633.7998046875,7659.0,962400,^AXJO,-0.0007958275271727766
2024-02-21,7608.39990234375,7612.2001953125,7588.2998046875,7597.7998046875,1218500,^AXJO,-0.007990624795991663
2024-02-22,7608.39990234375,7616.39990234375,7584.7001953125,7611.2001953125,2123700,^AXJO,0.0017637198885831484
2024-02-23,7611.2001953125,7661.2001953125,7611.2001953125,7643.60009765625,932200,^AXJO,0.00425687165129407
2024-02-26,7643.60009765625,7683.2998046875,7636.5,7652.7998046875,0,^AXJO,0.0012035829862515612
2024-02-27,7652.7998046875,7664.7998046875,7610.7998046875,7663.0,736400,^AXJO,0.0013328710501812058
2024-02-28,7663.0,7682.2998046875,7637.60009765625,7660.39990234375,934100,^AXJO,-0.00033930544907345705
2024-02-29,7660.39990234375,7703.7998046875,7631.0,7698.7001953125,1919000,^AXJO,0.004999777225342061
2024-03-01,7698.7001953125,7745.60009765625,7696.5,7745.60009765625,907700,^AXJO,0.006091924760533773
2024-03-04,7745.60009765625,7769.10009765625,7726.39990234375,7735.7998046875,833500,^AXJO,-0.0012652722636320446
2024-03-05,7735.7998046875,7752.2001953125,7711.7001953125,7724.2001953125,795900,^AXJO,-0.0014994712463953785
2024-03-06,7724.2001953125,7738.2001953125,7695.2001953125,7733.5,725100,^AXJO,0.0012039828658434448
2024-03-07,7733.5,7767.10009765625,7719.5,7763.7001953125,676900,^AXJO,0.0039051135077907695
2024-03-08,7763.7001953125,7853.10009765625,7763.7001953125,7847.0,755300,^AXJO,0.010729394823591143
2024-03-11,7847.0,7847.0,7696.7998046875,7704.2001953125,110600,^AXJO,-0.018198012576462363
2024-03-12,7704.2001953125,7736.7001953125,7701.2001953125,7712.5,623600,^AXJO,0.0010773090622113735
2024-03-13,7712.5,7741.7998046875,7710.60009765625,7729.39990234375,687500,^AXJO,0.0021912353119935
2024-03-14,7729.39990234375,7744.2001953125,7700.39990234375,7713.60009765625,857100,^AXJO,-0.0020441178988176434
2024-03-15,7713.60009765625,7713.60009765625,7591.39990234375,7670.2998046875,2298400,^AXJO,-0.005613499847095582
2024-03-18,7670.2998046875,7679.5,7642.0,7675.7998046875,535500,^AXJO,0.0007170515025551882
2024-03-19,7675.7998046875,7708.0,7666.89990234375,7703.2001953125,559100,^AXJO,0.0035697114727075707
2024-03-20,7703.2001953125,7738.10009765625,7694.60009765625,7695.7998046875,535300,^AXJO,-0.0009606904192238641
2024-03-21,7695.7998046875,7787.2001953125,7695.7998046875,7782.0,819900,^AXJO,0.011200940448060415
2024-03-22,7782.0,7786.7998046875,7738.60009765625,7770.60009765625,636600,^AXJO,-0.0014649064949563417
