channel_name,avg_title_sentiment,total_videos,avg_views,total_views,avg_comment_sentiment,std_comment_sentiment,total_comments,pct_positive,pct_negative,pct_neutral
ausbiz,0.048425,36,879.5833333333334,31665,0.2337277777777778,0.46382209434906096,36.0,55.55555555555556,16.666666666666664,27.77777777777778
Personal Finance with Ravi Sharma,0.0,2,11826.5,23653,0.22889565217391303,0.3951597392519786,23.0,56.52173913043478,13.043478260869565,30.434782608695656
Mark Tilbury,0.24536666666666665,6,5136297.5,30817785,0.20594047066622473,0.40908469802961395,3017.0,48.22671528007955,14.716605899900564,37.05667882001989
Ryne Williams,0.0,2,1160356.0,2320712,0.17075727440147329,0.3205627131186718,543.0,38.12154696132597,8.103130755064457,53.77532228360957
The Ramsey Show Highlights,0.2202,2,3467341.0,6934682,0.15527265029635903,0.44733175983997514,1181.0,48.43353090601185,24.97883149872989,26.587637595258258
ETFadviser (Australia),0.1162076923076923,13,3019.0,39247,0.15197391304347826,0.41766355012943057,23.0,43.47826086956522,17.391304347826086,39.130434782608695
Gohar Khan,0.0,2,16621349.5,33242699,0.1393462226640159,0.3775901925541508,1006.0,41.74950298210736,16.898608349900595,41.35188866799205
Veye Australia,0.3366823529411765,17,1162.2941176470588,19759,0.113025,0.3134893020503252,4.0,50.0,50.0,0.0
Sky News Australia,0.0821,15,736.5333333333333,11048,0.11097333333333334,0.3724655530782478,30.0,40.0,13.333333333333334,46.666666666666664
Universe Data,0.5556333333333333,3,75813.0,227439,0.09218303571428572,0.41134536176618947,112.0,40.17857142857143,27.67857142857143,32.142857142857146
Walk The World,0.28485,2,3297.0,6594,0.09156666666666667,0.4640457843790848,9.0,44.44444444444444,33.33333333333333,22.22222222222222
Australian Property Mastery with PK Gupta,0.17744285714285715,7,9997.857142857143,69985,0.027684523809523808,0.42645746168295817,84.0,30.952380952380953,27.380952380952383,41.66666666666667
Kalkine Media,0.0,2,230.5,461,-0.08795,0.12438008281071371,2.0,0.0,50.0,50.0
Bloomberg Podcasts,-0.0386,2,541.5,1083,-0.7269,,1.0,0.0,100.0,0.0
ABC News (Australia),0.10856666666666666,6,42235.666666666664,253414,,,,,,
ASX,0.03043333333333333,9,227.55555555555554,2048,,,,,,
Bg Trading,0.3466,3,285.3333333333333,856,,,,,,
Centaur Financial Services,0.0,2,17.5,35,,,,,,
ETF Insights Australia,0.19469999999999998,3,2051.0,6153,,,,,,
Fear & Greed,-0.2083,3,0.3333333333333333,1,,,,,,
Finanzlust_com,0.0,2,49.0,98,,,,,,
Hứa Cường | Elliott Wave,0.0,4,114.5,458,,,,,,
InvestLust_com,0.0,2,127.5,255,,,,,,
Petes Investing,0.0,5,16.6,83,,,,,,
RETIRE SAVY,0.5411,2,14.5,29,,,,,,
Rentvest Buyers Agency,0.0374,2,214.5,429,,,,,,
Ricardo Goncalves,0.20455,2,56.5,113,,,,,,
Solve Accounting,-0.0772,2,455.0,910,,,,,,
Stock Binge,0.3338666666666666,3,261.0,783,,,,,,
Under the Radar Report,0.7965,3,1688.6666666666667,5066,,,,,,
