week,avg_title_sentiment,video_count,avg_asx_return,asx_close
2024-01-08,0.0,1,0.00026400405699107996,7498.2998046875
2024-01-15,-0.3182,1,-0.00204007026320382,7421.2001953125
2024-01-22,0.0,1,0.0044935620490516,7555.39990234375
2024-02-05,0.2023,1,-0.00140713418280734,7644.7998046875
2024-02-12,0.2990333333333333,3,0.00037069131167068013,7658.2998046875
2024-02-19,0.22758000000000003,5,-0.00037557939737196017,7643.60009765625
2024-02-26,0.07615,4,0.0026577701146469996,7745.60009765625
2024-03-04,0.0,2,0.00261474953743958,7847.0
2024-03-11,0.1953,3,-0.00451741718963412,7670.2998046875
2024-03-18,-0.08236,5,0.00261242130182858,7770.60009765625
2024-03-25,0.3753,2,0.00405163025590965,7896.89990234375
2024-04-01,0.0,1,-0.0039147275296428745,7773.2998046875
2024-04-08,0.12266666666666666,3,0.00038688649367906006,7788.10009765625
2024-04-15,0.0666,7,-0.00570499982463476,7567.2998046875
2024-04-22,0.10115,2,0.00032552087908693924,7575.89990234375
2024-04-29,0.0,3,0.0014234949967678798,7629.0
2024-05-06,0.12726666666666667,3,0.0031597483291347602,7749.0
2024-05-20,0.7184,1,-0.0022158993808262203,7727.60009765625
2024-05-27,0.4995,1,-0.0006358335266702798,7701.7001953125
2024-06-03,0.43743333333333334,3,0.004084618532754,7860.0
2024-06-10,0.0,3,-0.004324406475353201,7724.2998046875
2024-06-17,0.1659875,8,0.0018603143018278694,7796.0
2024-06-24,0.2038,3,-0.0007016602636605399,7767.5
2024-07-01,0.0,1,0.00142320368036888,7822.2998046875
2024-07-08,0.0,3,0.00350216979620116,7959.2998046875
2024-07-15,0.18667499999999998,4,0.00032730613242010036,7971.60009765625
2024-07-22,0.3557,5,-0.0012384018061873398,7921.2998046875
2024-07-29,0.0,1,0.0006379685458001404,7943.2001953125
2024-08-05,0.0,5,-0.00405283660509506,7777.7001953125
2024-08-12,0.20980000000000001,4,0.0049339320645794,7971.10009765625
2024-08-19,0.16784000000000002,5,0.0013217123103476801,8023.89990234375
2024-08-26,0.031375,4,0.0016981759993003724,8091.89990234375
