topic,count,avg_t1_return,avg_t3_return,avg_views,avg_sentiment
0,131,-0.0006244558678451688,7.881963742447757e-05,58098.97709923664,0.13190687022900766
1,33,-0.0014310046587595001,-0.0022995624833926525,70861.21212121213,0.22013030303030304
2,104,-0.0011432456188911334,-7.864704604949704e-05,735167.5384615385,0.10675576923076924
3,40,0.0015690823418681014,0.0003903308730832506,21852.5,0.054027500000000006
4,77,0.000590900687990667,0.0020617694834625423,50277.67532467532,0.08482987012987013
