channel_name,degree,strength,degree_centrality,betweenness,eigenvector,clustering,pagerank,total_views,avg_views,video_count,topic_label,avg_sentiment
Gohar Khan,8,53,0.2222222222222222,0.009165464165464167,0.17295472541903062,0.0943201918989505,0.026793493451447544,33242699,16621349.5,2,Beginner & Education,0.0
Craig Percoco,6,40,0.16666666666666666,0.0,0.1214319516309137,0.1450466718675919,0.02133822975380327,6117780,3058890.0,2,Stock Research,0.0
Ryne Williams,6,22,0.16666666666666666,0.0,0.06827937360269139,0.09617664810968529,0.013702287470965292,2320712,1160356.0,2,ETF & Dividends,0.0
Personal Finance with Ravi Sharma,5,6,0.1388888888888889,0.061655328798185936,0.009237469763162661,0.025156201481287017,0.013070866206141212,23653,11826.5,2,Beginner & Education,0.0
Australian Investment Education,4,6,0.1111111111111111,0.0070634920634920625,0.017461698531967138,0.05387826699740159,0.007904526912951477,25585,6396.25,4,ETF & Dividends,0.09885
Australian Property Mastery with PK Gupta,4,4,0.1111111111111111,0.012431457431457432,0.009286116733914404,0.042836450015622606,0.006739812236252256,69985,9997.857142857143,7,ASX Blue Chips,0.17744285714285715
Universe Data,3,4,0.08333333333333333,0.0028427128427128425,0.010233937382137162,0.04434743700299357,0.006502023660181916,227439,75813.0,3,Global Markets,0.5556333333333333
Equity Mates,3,7,0.08333333333333333,0.0,0.022974685344702647,0.06816507113647532,0.008038814161170551,181081,6964.653846153846,26,ETF & Dividends,0.1588153846153846
Finer Market Points,2,2,0.05555555555555555,0.0,0.0042916996311877795,0.018518518518518517,0.005713491769119916,7023,2341.0,3,Stock Research,0.23206666666666667
Walk The World,1,1,0.027777777777777776,0.0,8.728135965642905e-05,0.0,0.006431887236549997,6594,3297.0,2,ASX Blue Chips,0.28485
Kapitales Research Australia,1,1,0.027777777777777776,0.0,0.0004379846258527077,0.0,0.00536193623907492,5574,116.125,48,ETF & Dividends,-0.13154375
Bloomberg Podcasts,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.004580152671755726,1083,541.5,2,ASX Blue Chips,-0.0386
Carl Capolingua,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.004580152671755726,306,153.0,2,ASX Blue Chips,0.0
Sky News Australia,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.004580152671755726,11048,736.5333333333333,15,ASX Blue Chips,0.0821
Marcus Today,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.004580152671755726,7637,1091.0,7,ETF & Dividends,0.22710000000000002
Kalkine Media,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.004580152671755726,461,230.5,2,ASX Blue Chips,0.0
