topic,total_videos,total_channels,first_channel,first_date,spread_days,avg_asx_t1
RBA Rate Cut,6,5,Wealth Within,2024-03-12,567,0.004401512095058317
Trump Tariffs,3,2,Fear & Greed,2024-10-07,407,0.0021130897564640666
BHP Results,13,10,Finer Market Points,2024-01-09,507,-0.0006727706880328464
CBA Results,14,10,Finer Market Points,2024-01-09,560,0.0014096970244503499
Market Crash,9,6,ausbiz,2024-07-25,479,0.004536400427779434
ETF Investing,59,14,Irene Zhu,2024-03-31,640,1.5230661938835697e-06
Property Market,15,10,The Ramsey Show Highlights,2024-04-20,595,-0.004570638740239806
AI Tech Stocks,1,1,Wealth Within,2025-12-08,0,-0.0044640784583529
