topic_id,top_words,video_count
0,"etf, amp, dividend, close, lower, close lower, amp close, etf etf, higher, portfolio, income, recap",131
1,"miss, saw, saw coming, coming, livewire, veye, report, equity, independent, independent equity, welcome, analysis",33
2,"beginner, hold, step, analysis, cap, full, technical, episode, november, guide, technical analysis, expert",104
3,"update, sector, german, dax update, dax, german dax, stockmarket, company, mid, record, sector shift, shift",40
4,"bank, bhp, cent, per cent, per, end, dividend, news, cba, podcast, end per, friday",77
